user_id,is_gmail,subscription_id,has_facebook,followers_count,followees_count,users_btw_user_and_inviter,reg_hour,reg_weekday,device_is_limited_ad_tracking,push_allowed,battery_save_mode,steps_provider_is_set,watch_is_paired,inviter_invited_count,invited_count,is_ios,is_email_status_good,Actual,Predicted
18398369,0,2,1,0,1,19557,14,1,0,1,1,0,0,112267,0,1,0,0,0.8981305463637194
23098292,0,2,1,0,0,888,12,1,0,1,1,0,0,112267,0,1,0,0,0.8981129594824736
2811746,1,2,1,0,1,3992,19,6,0,1,1,0,0,73673,0,1,0,0,0.8979613173753958
2811746,1,2,1,0,1,3992,19,6,0,1,1,0,0,73673,0,1,0,0,0.8979613173753958
2811746,1,2,1,0,1,3992,19,6,0,1,1,0,0,73673,0,1,0,0,0.8979613173753958
2811746,1,2,1,0,1,3992,19,6,0,1,1,0,0,73673,0,1,0,0,0.8979613173753958
2811746,1,2,1,0,1,3992,19,6,0,1,1,0,0,73673,0,1,0,0,0.8979613173753958
2811746,1,2,1,0,1,3992,19,6,0,1,1,0,0,73673,0,1,0,0,0.8979613173753958
2811746,1,2,1,0,1,3992,19,6,0,1,1,0,0,73673,0,1,0,0,0.8979613173753958
2811746,1,2,1,0,1,3992,19,6,0,1,1,0,0,73673,0,1,0,0,0.8979613173753958
6156597,0,2,1,3,1,13528,5,2,0,1,0,0,0,85227,0,1,0,0,0.8979512168638565
8690701,1,2,1,1,1,-2177,21,7,0,0,0,0,0,10323,0,1,0,0,0.8979500532101019
8690701,1,2,1,1,1,-2177,21,7,0,0,0,0,0,10323,0,1,0,0,0.8979500532101019
8690701,1,2,1,1,1,-2177,21,7,0,0,0,0,0,10323,0,1,0,0,0.8979500532101019
8690701,1,2,1,1,1,-2177,21,7,0,0,0,0,0,10323,0,1,0,0,0.8979500532101019
8690701,1,2,1,1,1,-2177,21,7,0,0,0,0,0,10323,0,1,0,0,0.8979500532101019
8690701,1,2,1,1,1,-2177,21,7,0,0,0,0,0,10323,0,1,0,0,0.8979500532101019
8690701,1,2,1,1,1,-2177,21,7,0,0,0,0,0,10323,0,1,0,0,0.8979500532101019
8690701,1,2,1,1,1,-2177,21,7,0,0,0,0,0,10323,0,1,0,0,0.8979500532101019
7256209,1,2,1,0,1,-972,7,2,0,1,1,0,0,85227,0,1,0,0,0.8979224017118236
2855518,1,3,1,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0.8978359536934454
3754758,1,2,1,1,0,29500,20,6,0,1,1,0,0,73673,0,1,0,0,0.8977678094331192
3754758,1,2,1,1,0,29500,20,6,0,1,1,0,0,73673,0,1,0,0,0.8977678094331192
